career_talk_id,company_name,meet_name,meet_time,meet_day,address,room,company_property,scale,industry_category,city_name,professionals,career_type,a_meet_end_time,a_meet_time,career_state,company_id,hotcount,is_above_bachelor_degree,is_above_college_degree,is_above_doctor_degree,is_above_master_degree,is_yun,meet_day_d,meet_day_m,meet_type,overdue,recruit_type,school_name,view_count
638847,景旺电子科技（龙川）有限公司,景旺电子科技（龙川）有限公司,16:40,2024-10-24,重庆市合川区重庆工商职业学院(合川校区),,其他企业（含民营企业等）,10000人以上,制造业,河源市,"不限专业,机械工艺技术,机电技术教育,电气类,机械设计制造类,机械设计制造及其自动化,智能制造工程,电气工程及其自动化",,1729764000,1729759200,0,159656,0,0,0,0,0,0,24,10,0,0,,重庆工商职业学院,21
636063,江苏康缘药业股份有限公司,江苏康缘药业股份有限公司,14:30,2024-10-24,412教室/第一教学楼,,其他（含社会组织、国际组织等）,5000-10000人,制造业,连云港市,"不限专业,药学,中药学,化学工程与工艺,制药工程",,1729756800,1729751400,0,26830,8,1,0,0,0,0,24,10,0,0,,重庆医科大学,2861
641690,新疆维吾尔自治区阿克苏地区人力资源和社会保障局,新疆维吾尔自治区阿克苏地区人力资源和社会保障局,10:30,2024-10-24,一教110教室,,机关,500-1000人,公共管理、社会保障和社会组织,阿克苏地区,不限专业,,1729742400,1729737000,0,447001,0,0,0,0,1,0,24,10,0,0,,重庆医科大学,1690
641024,重庆渝之楚商贸有限公司,重庆渝之楚商贸有限公司,16:40,2024-10-23,会计与金融学院专场宣讲场地,,其他企业（含民营企业等）,少于50人,租赁和商务服务业,重庆市,不限专业,,1729677600,1729672800,0,477589,0,0,0,0,0,0,23,10,0,0,,重庆工商职业学院,175
638126,重庆云赞满谦企业管理服务有限公司,会计与金融学院,14:00,2024-10-23,会计与金融学院专场宣讲场地,,其他企业（含民营企业等）,50-150人,租赁和商务服务业,重庆市,不限专业,,1729670400,1729663200,0,562666,0,0,0,0,0,0,23,10,0,0,,重庆工商职业学院,153
633450,北京恒安卫士保安服务有限公司,北京恒安卫士保安服务有限公司,12:30,2024-10-23,B113,,其他企业（含民营企业等）,10000人以上,公共管理、社会保障和社会组织,北京市,不限专业,,1729663200,1729657800,0,170683,1,0,0,0,0,0,23,10,0,0,,重庆工商职业学院,595
637122,南昌市奥克斯电气制造有限公司,南昌市奥克斯电气制造有限公司,14:00,2024-10-22,临时场地,,外商投资企业,10000人以上,制造业,南昌市,"不限专业,数控技术,智能控制技术,机电一体化技术,焊接技术与自动化,物联网应用技术,智能焊接技术",,1729065600,1729576800,0,48401,0,0,0,0,0,0,22,10,0,0,,重庆工商职业学院,310
634040,奇瑞新能源汽车股份有限公司,世界500强：奇瑞新能源2024年制造中心招募,14:00,2024-10-22,大学生创业就业中心宣讲室（一）,,其他（含社会组织、国际组织等）,5000-10000人,制造业,芜湖市,"工业机器人技术,工业过程自动化技术,机电一体化技术,电气自动化技术,工业设计,化工装备技术,新能源汽车技术,机械制造与自动化,汽车检测与维修技术,焊接技术与自动化",,1729584000,1729576800,0,466020,0,0,0,0,0,0,22,10,0,0,,重庆工商职业学院,695
637521,中国核工业二三建设有限公司,中国核工业二三建设有限公司,14:00,2024-10-21,行知楼2009,,国有企业,10000人以上,建筑业,北京市,不限专业,,1729497600,1729490400,0,71637,82,0,1,0,0,0,21,10,0,0,,重庆工商职业学院,1161
638334,南充三环电子有限公司,三环集团南充基地25届校招,10:30,2024-10-21,行知楼2009,,其他企业（含民营企业等）,5000-10000人,制造业,南充市,不限专业,,1729483200,1729477800,0,207180,1,0,0,0,0,0,21,10,0,0,,重庆工商职业学院,347
639690,无锡太湖饭店有限公司,无锡太湖饭店宣讲会,12:30,2024-10-17,大学生创业就业中心宣讲室（一）,,国有企业,150-500人,住宿和餐饮业,无锡市,"旅游管理,景区开发与管理,酒店管理",,1729144800,1729139400,0,607854,0,0,1,0,0,0,17,10,0,0,,重庆工商职业学院,407
638990,芜湖长信新型显示器件有限公司,芜湖长信新型显示器件有限公司,16:40,2024-10-16,大学生创业就业中心宣讲室（二）,,其他企业（含民营企业等）,5000-10000人,制造业,芜湖市,"不限专业,管理科学,产品质量工程,工商管理,机械类,材料类,数控技术,智能控制技术,智能焊接技术,机电一体化技术",,1729072800,1729068000,0,432311,0,0,0,0,0,0,16,10,0,0,,重庆工商职业学院,143
632560,清陶（昆山）能源发展股份有限公司,清陶（昆山）能源发展股份有限公司,14:00,2024-10-16,行知楼1005,,其他企业（含民营企业等）,150-500人,科学研究和技术服务业,苏州市,"数控技术,机电一体化技术,电气自动化技术",,1729065600,1729058400,0,307302,0,0,0,0,0,0,16,10,0,0,,重庆工商职业学院,126
639978,上汽大通汽车有限公司南京分公司,南京上汽大通宣讲会,14:00,2024-10-16,行知楼2008,,国有企业,1000-5000人,制造业,南京市,"机械设计制造及自动化,自动化技术与应用,汽车制造类,汽车工程技术,新能源汽车工程技术,车辆工程,新能源汽车工程",,1729065600,1729058400,0,75067,0,0,0,0,0,0,16,10,0,0,,重庆工商职业学院,362
637749,南昌市奥克斯电气制造有限公司,南昌市奥克斯电气制造有限公司,14:00,2024-10-16,行知楼2009,,外商投资企业,10000人以上,制造业,南昌市,"不限专业,数控技术,智能控制技术,机电一体化技术,焊接技术与自动化,物联网应用技术,智能焊接技术",,1729065600,1729058400,0,48401,0,0,0,0,0,0,16,10,0,0,,重庆工商职业学院,308
